jmdict_id,kanji,reading,jlpt_level,frequency_rank,source
1156410,意外,いがい,3,420,waller
1164510,一体,いったい,3,421,waller
1515670,報告,ほうこく,3,422,waller
1152720,握る,にぎる,3,423,waller
1580290,少女,しょうじょ,3,424,waller
1331030,周囲,しゅうい,3,425,waller
1254790,結婚,けっこん,5,426,waller
1579350,三,さん,5,427,waller
1589320,思い,おもい,5,428,frequency
1212380,感謝,かんしゃ,3,429,waller
1600720,激しい,はげしい,3,430,waller
1305440,仕方ない,しかたない,5,431,frequency
1445790,倒れる,たおれる,4,432,waller
1155150,以前,いぜん,3,433,waller
1483740,疲れる,つかれる,5,434,waller
1354600,丈,たけ,2,435,audit
1378860,生活,せいかつ,4,436,waller
1150450,愛する,あいする,3,437,waller
2004390,下,もと,5,438,frequency
1450690,頭,とう,5,439,frequency
1066710,,スーパー,5,440,frequency
1053280,,コンビニ,5,441,frequency
2150610,米,べい,5,442,frequency
1027180,,エアコン,5,443,frequency
1390990,洗濯機,せんたくき,5,444,frequency
1556730,冷たい,つめたい,5,445,waller
1322320,捨てる,すてる,4,446,waller
1196000,過ごす,すごす,3,447,waller
1358490,食事,しょくじ,4,448,waller
1451150,働く,はたらく,5,449,waller
1499730,風,ふう,5,450,frequency
1287420,黒い,くろい,5,451,waller
1582200,途中,とちゅう,4,452,waller
1344380,助かる,たすかる,3,453,audit
1329650,受け取る,うけとる,3,454,waller
1404740,足りる,たりる,4,455,waller
1478620,判断,はんだん,3,456,waller
1592100,食う,くう,3,457,waller
1562850,腕,うで,4,458,waller
1328190,手伝う,てつだう,4,459,waller
1284480,合わせる,あわせる,3,460,waller
1414340,大切,たいせつ,5,461,waller
1194500,花,はな,5,462,waller
1317170,耳,みみ,5,463,waller
1323010,謝る,あやまる,4,464,waller
1416340,奪う,うばう,3,465,waller
1521400,僕,ぼく,4,466,waller
1519630,望む,のぞむ,3,467,waller
1241880,緊張,きんちょう,3,468,waller
1388410,先輩,せんぱい,4,469,waller
1163400,一緒,いっしょ,5,470,waller
1229060,救う,すくう,3,471,waller
1317340,自ら,みずから,5,472,frequency
1320140,失敗,しっぱい,4,473,waller
1583260,避ける,さける,3,474,waller
1555830,隣,となり,5,475,waller
1397340,素直,すなお,2,476,waller
1559900,連絡,れんらく,4,477,waller
1368370,人生,じんせい,3,478,waller
1260670,元,もと,3,479,waller
1500940,服,ふく,5,480,waller
1516490,放つ,はなつ,5,481,frequency
2083720,,っぽい,5,482,frequency
1457730,内,うち,4,483,waller
1257240,嫌い,きらい,5,484,waller
1552140,流れる,ながれる,3,485,waller
1455280,特別,とくべつ,4,486,waller
1582000,敵,てき,3,487,waller
1602440,増える,ふえる,4,488,waller
1403830,側,そば,5,489,waller
1598530,出会う,であう,3,490,waller
1349170,少年,しょうねん,3,491,waller
1247030,繰り返す,くりかえす,3,492,waller
1592270,首,くび,4,493,waller
1288340,腰,こし,3,494,waller
1196970,我慢,がまん,3,495,waller
1584660,明日,あした,5,496,waller
1212330,感覚,かんかく,3,497,waller
1238610,響く,ひびく,2,498,waller
1612890,響めく,どよめく,5,499,frequency
1188420,何とか,なんとか,3,500,waller
1302680,山,やま,5,501,waller
1448800,当たり前,あたりまえ,3,502,audit
1543240,予定,よてい,4,503,waller
1304680,残念,ざんねん,4,504,waller
1524720,毎日,まいにち,5,505,waller
1432410,追う,おう,3,506,waller
1156990,易い,やすい,4,507,audit
1591900,綺麗,きれい,5,508,waller
1324300,若い,わかい,5,509,waller
1281000,考え,かんがえ,3,510,waller
1196030,過去,かこ,3,511,waller
1212410,感情,かんじょう,3,512,waller
1531940,命,いのち,3,513,waller
1263710,現実,げんじつ,3,514,waller
1227560,休む,やすむ,5,515,waller
1607050,我々,われわれ,3,516,waller
1361290,振り返る,ふりかえる,5,517,frequency
1522750,本人,ほんにん,3,518,waller
1301000,三人,さんにん,5,519,frequency
1487400,必ず,かならず,4,520,waller
1320760,質問,しつもん,5,521,waller
1565120,呟く,つぶやく,2,522,audit
